ણ<=>વું,22,21,1,0.9545454545454546,0.045454545454545456
હ<=>શે,1,1,0,1.0,0.0
હે<=>રા,3,3,0,1.0,0.0
રા<=>ન,2,0,2,0.0,1.0
ન<=>ગ,9,7,2,0.7777777777777778,0.2222222222222222
ગ<=>તિ,6,5,1,0.8333333333333334,0.16666666666666666
ત્<=>રા,13,5,8,0.38461538461538464,0.6153846153846154
રા<=>ણું,3,3,0,1.0,0.0
ત્<=>રા,13,5,8,0.38461538461538464,0.6153846153846154
રા<=>ટ,4,1,3,0.25,0.75
ટ<=>ક,21,3,18,0.14285714285714285,0.8571428571428571
ક<=>વું,63,63,0,1.0,0.0
હા<=>ક,2,1,1,0.5,0.5
હં<=>ગા,1,1,0,1.0,0.0
ગા<=>મી,2,2,0,1.0,0.0
ત્<=>રે,3,0,3,0.0,1.0
રે<=>સ,1,1,0,1.0,0.0
સ<=>ઠ,8,0,8,0.0,1.0
હ<=>થે,1,1,0,1.0,0.0
થે<=>ળી,1,1,0,1.0,0.0
હ<=>થો,2,2,0,1.0,0.0
થો<=>ટી,1,1,0,1.0,0.0
શ્<=>ર,7,1,6,0.14285714285714285,0.8571428571428571
ર<=>ધ્,2,0,2,0.0,1.0
ધ્<=>ધા,5,4,1,0.8,0.2
હો<=>હા,1,1,0,1.0,0.0
સ્<=>ત,26,20,5,0.7692307692307693,0.19230769230769232
ત<=>ધૂ,1,1,0,1.0,0.0
ધૂ<=>ન,2,1,1,0.5,0.5
ન<=>ન,4,0,4,0.0,1.0
હં<=>મે,2,1,0,0.5,0.0
મે<=>શાં,1,0,0,0.0,0.0
હિ<=>મ,1,0,1,0.0,1.0
હો<=>જ,2,0,2,0.0,1.0
જ<=>રી,4,4,0,1.0,0.0
ત્<=>રિ,10,3,6,0.3,0.6
રિ<=>ભે,1,0,0,0.0,0.0
ભે<=>ટો,2,2,0,1.0,0.0
ક્<=>ષ,51,34,16,0.6666666666666666,0.3137254901960784
ષ<=>ત્,2,1,1,0.5,0.5
ત્<=>રિ,10,3,6,0.3,0.6
રિ<=>ય,6,6,0,1.0,0.0
હીં<=>ચ,1,0,1,0.0,1.0
ચ<=>વું,17,17,0,1.0,0.0
હિં<=>ગ,1,1,0,1.0,0.0
હં<=>મે,2,1,0,0.5,0.0
મે<=>શ,2,0,2,0.0,1.0
હં<=>કા,1,1,0,1.0,0.0
કા<=>ર,58,5,53,0.08620689655172414,0.9137931034482759
ર<=>વું,97,97,0,1.0,0.0
ક્<=>ષે,5,2,3,0.4,0.6
ષે<=>ત્,2,0,2,0.0,1.0
ત્<=>ર,60,32,28,0.5333333333333333,0.4666666666666667
ર<=>ફ,6,4,2,0.6666666666666666,0.3333333333333333
ફ<=>ળ,9,0,9,0.0,1.0
ક્<=>ષો,1,0,1,0.0,1.0
ષો<=>ભ,1,0,1,0.0,1.0
ક્<=>ષિ,11,10,1,0.9090909090909091,0.09090909090909091
ષિ<=>તિ,1,1,0,1.0,0.0
તિ<=>જ,1,0,1,0.0,1.0
હી<=>બ,2,1,1,0.5,0.5
બ<=>ક,9,0,9,0.0,1.0
ક<=>વું,63,63,0,1.0,0.0
હો<=>મ,1,0,1,0.0,1.0
હી<=>જ,1,0,1,0.0,1.0
જ<=>ડો,1,1,0,1.0,0.0
શ્<=>રા,2,1,1,0.5,0.5
રા<=>વ,14,7,7,0.5,0.5
વ<=>ણ,11,1,10,0.09090909090909091,0.9090909090909091
હ<=>લ,7,2,5,0.2857142857142857,0.7142857142857143
લ<=>ન,9,0,9,0.0,1.0
ન<=>ચ,3,3,0,1.0,0.0
ચ<=>લ,3,2,1,0.6666666666666666,0.3333333333333333
લ<=>ન,9,0,9,0.0,1.0
ક્<=>ષ,51,34,16,0.6666666666666666,0.3137254901960784
ષ<=>મા,2,2,0,1.0,0.0
મા<=>પા,1,1,0,1.0,0.0
પા<=>ત્,3,0,3,0.0,1.0
ત્<=>ર,60,32,28,0.5333333333333333,0.4666666666666667
હો<=>શિ,2,2,0,1.0,0.0
શિ<=>યા,5,5,0,1.0,0.0
યા<=>ર,16,5,11,0.3125,0.6875
હિં<=>સ,2,2,0,1.0,0.0
સ<=>ક,8,2,6,0.25,0.75
હો<=>ન,1,0,1,0.0,1.0
ન<=>હા,1,1,0,1.0,0.0
હા<=>ર,19,1,18,0.05263157894736842,0.9473684210526315
ક્<=>ષ,51,34,16,0.6666666666666666,0.3137254901960784
ષ<=>તિ,1,1,0,1.0,0.0
હો<=>ઠ,1,0,1,0.0,1.0
હે<=>સિ,1,0,0,0.0,0.0
સિ<=>ય,4,3,0,0.75,0.0
ય<=>ત,10,1,9,0.1,0.9
હો<=>શિ,2,2,0,1.0,0.0
શિ<=>યા,5,5,0,1.0,0.0
યા<=>રી,4,4,0,1.0,0.0
હે<=>ત,2,1,1,0.5,0.5
હિ<=>ત,5,1,4,0.2,0.8
હો<=>લો,1,1,0,1.0,0.0
હો<=>વું,1,1,0,1.0,0.0
હે<=>તુ,2,2,0,1.0,0.0
હી<=>બ,2,1,1,0.5,0.5
બ<=>કું,1,1,0,1.0,0.0
હે<=>લી,2,2,0,1.0,0.0
હિ<=>ચ,1,0,1,0.0,1.0
ચ<=>કા,6,6,0,1.0,0.0
કા<=>રું,1,1,0,1.0,0.0
હિ<=>સ્,1,0,1,0.0,1.0
સ્<=>સો,3,2,1,0.6666666666666666,0.3333333333333333
હે<=>વા,4,4,0,1.0,0.0
વા<=>નિ,1,1,0,1.0,0.0
નિ<=>ય,5,4,1,0.8,0.2
ય<=>ત,10,1,9,0.1,0.9
હા<=>થ,4,0,4,0.0,1.0
